,test,prediccion
2020-08-22 05:00:00,45.33,32.99294782520547
2020-08-22 06:00:00,45.57,36.85920447454278
2020-08-22 07:00:00,47.71,34.575561193846724
2020-08-22 08:00:00,42.23,30.41718719806912
2020-08-22 09:00:00,47.13,34.436722725818
2020-08-22 10:00:00,48.14,52.62809955415965
2020-08-22 11:00:00,115.36,79.46173243625512
2020-08-22 12:00:00,115.36,100.98916482190754
2020-08-22 13:00:00,107.5,106.58158818799475
2020-08-22 14:00:00,103.28,98.47418179989859
2020-08-22 15:00:00,102.97,89.71915082028111
2020-08-22 16:00:00,102.27,91.95649014054024
2020-08-22 17:00:00,106.58,104.26960423242608
2020-08-22 18:00:00,112.38,113.63803271085011
2020-08-22 19:00:00,118.68,106.67487163507914
2020-08-22 20:00:00,118.99,81.77783456086524
2020-08-22 21:00:00,51.06,50.617609447186084
2020-08-22 22:00:00,51.68,28.07383361646572
2020-08-22 23:00:00,48.65,20.367220315821335
2020-08-23 00:00:00,44.47,22.1105165595484
2020-08-23 01:00:00,40.55,23.832343812762865
2020-08-23 02:00:00,40.38,21.56021000164266
2020-08-23 03:00:00,40.15,18.994051567368842
2020-08-23 04:00:00,40.13,21.167178021978792
2020-08-23 05:00:00,37.89,27.38326032339763
2020-08-23 06:00:00,37.68,31.53635671510994
2020-08-23 07:00:00,37.04,29.579494191204247
2020-08-23 08:00:00,34.66,25.786199919355518
2020-08-23 09:00:00,36.13,30.207085017034377
2020-08-23 10:00:00,38.08,48.833680979145214
2020-08-23 11:00:00,104.88,76.13365126510325
2020-08-23 12:00:00,104.71,98.15546120985812
2020-08-23 13:00:00,102.1,104.26692531017562
2020-08-23 14:00:00,95.95,96.69957844560258
2020-08-23 15:00:00,99.17,88.50174857172537
2020-08-23 16:00:00,103.8,91.30935790639644
2020-08-23 17:00:00,111.42,104.20158248793629
2020-08-23 18:00:00,115.84,114.15361935152742
2020-08-23 19:00:00,117.24,107.77415088086241
2020-08-23 20:00:00,116.5,83.45644988081051
2020-08-23 21:00:00,43.03,52.86678096798266
2020-08-23 22:00:00,44.58,30.880419956978493
2020-08-23 23:00:00,39.8,23.713824331136067
2020-08-24 00:00:00,39.06,25.97563393906875
